Status,# Rooms,Area (m²),# Car Spots,Condominium Fee (BRL),City,Neighborhood,Price (BRL)
274,For sale,3.0,88.0,2.0,740.0,Recife,Boa Viagem,700000.0
275,For sale,3.0,170.0,2.0,1000.0,Jaboatão dos Guararapes,Candeias,570000.0
276,For sale,3.0,88.0,2.0,800.0,Recife,Madalena,590000.0
277,For sale,4.0,171.0,3.0,1650.0,Recife,Monteiro,1700000.0
278,For sale,4.0,138.0,2.0,,Recife,Boa Viagem,1349350.0
279,For sale,,35.0,,,Recife,São José,324350.0
280,For sale,3.0,133.0,,0.0,Recife,Boa Viagem,500000.0
281,For sale,2.0,100.0,2.0,0.0,Recife,Pina,380000.0
282,For sale,3.0,93.0,2.0,800.0,Recife,Boa Viagem,1195000.0
283,,,850.0,,0.0,Recife,Cordeiro,700000.0
284,For sale,2.0,55.0,,0.0,Paulista,Maria Farinha,140000.0
285,For sale,3.0,67.0,,550.0,Recife,Campo Grande,270000.0
286,For sale,4.0,208.0,2.0,1250.0,Recife,Graças,630000.0
287,For sale,4.0,135.0,2.0,,Jaboatão dos Guararapes,Candeias,550000.0
288,For sale,4.0,132.0,,775.0,Recife,Boa Viagem,1390000.0
289,For sale,,46.0,,315.0,Recife,Boa Vista,130000.0
290,For sale,3.0,140.0,3.0,0.0,Recife,Madalena,800000.0
291,For rent,,24.0,,0.0,Recife,Parnamirim,1700.0
292,For sale,4.0,270.0,2.0,1500.0,Recife,Boa Viagem,1290000.0
293,For sale,2.0,105.0,2.0,780.0,Jaboatão dos Guararapes,Piedade,550000.0
294,For sale,3.0,75.0,,260.0,Jaboatão dos Guararapes,Piedade,200000.0
295,For sale,2.0,0.0,,0.0,Recife,Dois Unidos,80000.0
296,For sale,3.0,100.0,3.0,0.0,Recife,Jardim São Paulo,330000.0
297,For sale,4.0,360.0,4.0,0.0,Recife,Boa Viagem,6500000.0
298,For sale,4.0,134.0,2.0,0.0,Recife,Poço,849999.0
299,,,450.0,,0.0,Recife,Casa Forte,20000.0
300,For sale,3.0,120.0,,0.0,Recife,Santo Amaro,245000.0
301,For sale,2.0,62.0,,500.0,Recife,Madalena,360000.0
302,For rent,3.0,81.0,2.0,468.0,Recife,Boa Viagem,3800.0
303,For sale,3.0,93.0,,650.0,Recife,Graças,310000.0
304,For sale,4.0,208.0,3.0,933.0,Recife,Parnamirim,2100000.0
305,For rent,3.0,130.0,,0.0,Recife,Madalena,1350.0
306,For sale,4.0,120.0,2.0,0.0,Recife,Jaqueira,1459000.0
307,For sale,3.0,64.0,,,Recife,Torreão,450000.0
308,For sale,4.0,150.0,3.0,0.0,Recife,Casa Forte,920000.0
309,For sale,4.0,238.0,4.0,2200.0,Recife,Poço,1400000.0
310,,,49.0,,350.0,Caruaru,Maurício de Nassau,228151.0
