Status,# Rooms,Area (m²),# Car Spots,Condominium Fee (BRL),City,Neighborhood,Price (BRL)
343,For sale,3.0,61.0,0,500.0,Recife,Tamarineira,400000.0
344,For sale,3.0,62.0,0,50.0,Jaboatão dos Guararapes,Barra de Jangada,120000.0
345,For sale,4.0,166.0,3.0,1.0,Recife,Monteiro,1294178.0
346,For sale,3.0,126.0,0,750.0,Jaboatão dos Guararapes,Candeias,500000.0
347,For sale,4.0,163.0,3.0,780.0,Recife,Boa Viagem,1400000.0
348,For sale,3.0,173.0,0,1230.0,Jaboatão dos Guararapes,Centro,580000.0
349,For sale,2.0,43.0,0,0.0,Recife,Iputinga,219000.0
350,For sale,2.0,44.0,0,0.0,Recife,Torreão,287399.0
351,For sale,2.0,53.0,0,0.0,Recife,Graças,561000.0
352,For sale,2.0,44.0,0,0.0,Recife,Torreão,287399.0
353,For sale,2.0,53.0,0,0.0,Recife,Graças,561000.0
354,For sale,2.0,58.0,0,359.0,Recife,Boa Viagem,599000.0
355,For sale,3.0,92.0,2.0,0.0,Recife,Boa Viagem,754000.0
356,For sale,3.0,144.0,0,950.0,Recife,Boa Viagem,455000.0
